accuracy,congruity,height,response,rt,stimulus,subject_nr,targetSide,width,md,auc,xflips,init_time
1,incongruent,1050,2,1016,rightIncongruent.jpg,102,right,1680,0.87229414667,0.94673052003,1,280.0
1,incongruent,1050,1,1159,leftIncongruent.jpg,102,left,1680,0.940375543191,0.713490615328,1,260.0
1,incongruent,1050,2,1177,rightIncongruent.jpg,102,right,1680,0.788177678709,0.729865580218,1,300.0
1,congruent,1050,2,855,rightCongruent.jpg,102,right,1680,-0.118659949179,-0.00316212553737,0,300.0
1,congruent,1050,2,855,rightCongruent.jpg,102,right,1680,-0.202000021257,-0.214227479861,0,260.0
1,congruent,1050,1,1007,leftCongruent.jpg,102,left,1680,-0.340934014745,-0.0547360528391,2,240.0
1,incongruent,1050,2,1126,rightIncongruent.jpg,102,right,1680,1.06125873992,0.49574267842,3,160.0
1,congruent,1050,2,830,rightCongruent.jpg,102,right,1680,-0.126113374084,-0.172350426233,0,260.0
1,congruent,1050,1,992,leftCongruent.jpg,102,left,1680,0.255391891435,-0.0368788800745,0,300.0
1,incongruent,1050,1,966,leftIncongruent.jpg,102,left,1680,0.956377702659,0.584349690531,1,220.0
1,incongruent,1050,1,1016,leftIncongruent.jpg,102,left,1680,0.984757871091,0.473250206714,2,200.0
1,incongruent,1050,2,894,rightIncongruent.jpg,102,right,1680,0.824318331795,0.795585416185,0,160.0
1,incongruent,1050,1,1029,leftIncongruent.jpg,102,left,1680,0.936149022301,0.729985060145,1,260.0
1,congruent,1050,1,727,leftCongruent.jpg,102,left,1680,-0.103009944694,-0.0948657588939,0,160.0
1,congruent,1050,1,1103,leftCongruent.jpg,102,left,1680,-0.082574469723,-0.0903148243225,0,240.0
1,incongruent,1050,1,998,leftIncongruent.jpg,102,left,1680,1.11212552743,0.672038150189,1,260.0
1,incongruent,1050,2,1750,rightIncongruent.jpg,102,right,1680,1.32033257061,1.38454609577,1,280.0
1,congruent,1050,1,1231,leftCongruent.jpg,102,left,1680,-0.26094177431,-0.320426894492,0,440.0
1,congruent,1050,2,847,rightCongruent.jpg,102,right,1680,-0.163351878328,-0.107321373894,0,280.0
1,congruent,1050,2,716,rightCongruent.jpg,102,right,1680,0.0596897541787,0.0547425957005,0,220.0
1,congruent,1050,2,769,rightCongruent.jpg,102,right,1680,0.21278802574,0.181436397456,1,260.0
1,incongruent,1050,1,1176,leftIncongruent.jpg,102,left,1680,0.768205180356,0.696616558926,1,260.0
1,congruent,1050,1,942,leftCongruent.jpg,102,left,1680,0.223438811443,0.124270232451,0,280.0
1,congruent,1050,1,797,leftCongruent.jpg,102,left,1680,-0.160421686773,-0.149407438484,0,260.0
1,incongruent,1050,2,901,rightIncongruent.jpg,102,right,1680,0.919558165334,1.05769592778,1,260.0
1,congruent,1050,2,1222,rightCongruent.jpg,102,right,1680,0.0903953502819,0.119013591192,1,300.0
1,incongruent,1050,2,962,rightIncongruent.jpg,102,right,1680,0.735858942095,0.602223247493,2,300.0
1,congruent,1050,1,853,leftCongruent.jpg,102,left,1680,-0.196452767592,-0.109521720222,0,260.0
1,congruent,1050,1,957,leftCongruent.jpg,102,left,1680,-0.275973278959,-0.304971382533,0,300.0
1,congruent,1050,2,911,rightCongruent.jpg,102,right,1680,0.0507193531712,0.0240254909543,0,340.0
1,congruent,1050,1,903,leftCongruent.jpg,102,left,1680,-0.15452091409,-0.0995561030524,0,360.0
1,incongruent,1050,1,1240,leftIncongruent.jpg,102,left,1680,1.18032033434,0.992036388614,1,300.0
1,congruent,1050,2,919,rightCongruent.jpg,102,right,1680,-0.0921750897584,-0.0768011715302,0,320.0
1,incongruent,1050,2,1094,rightIncongruent.jpg,102,right,1680,0.843225682463,0.875547368787,1,320.0
1,congruent,1050,2,1085,rightCongruent.jpg,102,right,1680,0.134128402064,0.123924351926,0,300.0
1,incongruent,1050,1,909,leftIncongruent.jpg,102,left,1680,0.90629601807,0.672560882709,1,160.0
1,congruent,1050,1,1129,leftCongruent.jpg,102,left,1680,1.25288991297,0.938681794211,1,320.0
1,congruent,1050,1,1091,leftCongruent.jpg,102,left,1680,0.104168996036,0.112783408305,1,340.0
1,congruent,1050,2,1014,rightCongruent.jpg,102,right,1680,-0.107571903164,-0.0960784916354,0,340.0
1,incongruent,1050,1,1128,leftIncongruent.jpg,102,left,1680,0.575083660195,0.385909263415,2,160.0
1,incongruent,1050,2,893,rightIncongruent.jpg,102,right,1680,0.646823637723,0.631155502439,1,280.0
1,incongruent,1050,1,1061,leftIncongruent.jpg,102,left,1680,0.804674282445,0.510068467882,0,280.0
1,congruent,1050,2,1256,rightCongruent.jpg,102,right,1680,-0.1793174481,-0.153675668356,0,360.0
1,congruent,1050,2,990,rightCongruent.jpg,102,right,1680,0.0848012668886,0.0821748971197,0,360.0
1,incongruent,1050,1,1397,leftIncongruent.jpg,102,left,1680,-0.308180169248,-0.289751922796,0,340.0
1,incongruent,1050,2,1349,rightIncongruent.jpg,102,right,1680,0.825550829358,0.68112225079,1,300.0
1,incongruent,1050,1,1086,leftIncongruent.jpg,102,left,1680,-0.0763265901833,-0.0207695902831,0,360.0
1,incongruent,1050,2,958,rightIncongruent.jpg,102,right,1680,0.186504056654,0.173521094857,0,280.0
1,congruent,1050,2,1031,rightCongruent.jpg,102,right,1680,-0.200393814805,-0.154326004767,0,320.0
1,incongruent,1050,1,1022,leftIncongruent.jpg,102,left,1680,0.733288124869,0.702093679568,1,300.0
1,incongruent,1050,1,989,leftIncongruent.jpg,102,left,1680,0.238017949406,0.12247997521,1,340.0
1,incongruent,1050,2,1029,rightIncongruent.jpg,102,right,1680,0.696862953423,0.727370172278,0,280.0
1,congruent,1050,1,846,leftCongruent.jpg,102,left,1680,0.096722319129,0.0279184413275,0,220.0
